Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
12.37,4,0.0798612477712943872360345552,0.112980233386086,0.112980233386086,0.080251750028618,0.080251750028618,0.465236664719443,0.4719844742707011392336398166,0.2376944631006311392336398166,0.23429001117007,6.7606780507789541405396094739,132.65492578456110702960171313,132.654920234521934414482808,2195612000
12.38,4,0.0798450191808824272360345552,0.112951370341666,0.112951370341666,0.0802354420843096,0.0802354420843096,0.465057687908895,0.4718039200544683533710452876,0.2375997233946143533710452876,0.234204196659854,6.7580918019605019931446275556,132.63962434448441986373986111,132.6396187881899737295694588,2197387000
12.39,4,0.0798288329173548972360345552,0.112922569429326,0.112922569429326,0.0802191766738538,0.0802191766738538,0.464878989880734,0.4716236482756370820297281518,0.2375051157532130820297281518,0.234118532522424,6.7555095987569417934802778849,132.62434705828050548001178709,132.62434149572365551843814929,2199162000
12.40,4,0.0798126789726102772360345552,0.112893820655767,0.112893820655767,0.080202943740212,0.080202943740212,0.464700571897694,0.4714436594967677114076672706,0.2374106409086957114076672706,0.234033018588072,6.7529314492262838310751109046,132.60907889519325380994554701,132.60907332636316229955439966,2200936000
12.41,4,0.0797965663385724772360345552,0.112865133071154,0.112865133071154,0.0801867523192764,0.0801867523192764,0.46452243384833,0.4712639542379964720126028242,0.2373162995509134720126028242,0.233947654687083,6.7503573608190433391995402545,132.59383910684484771583082367,132.59383353173546933312443279,2202712000
12.42,4,0.0797804860071932672360345552,0.112836498116921,0.112836498116921,0.0801705933589517,0.0801705933589517,0.464344583106556,0.4710845392582575218205572895,0.2372220986085105218205572895,0.233862440649747,6.7477874303497469594681619777,132.57861145512177041655605513,132.5786058737231478414255439,2204486000
12.43,4,0.0797644359704479772360345552,0.112807911690117,0.112807911690117,0.0801544648413943,0.0801544648413943,0.464166989924409,0.4709053845958456423000944053,0.2371280082894926423000944053,0.233777376306353,6.7452212286486216011944125138,132.56337788803421092988360721,132.5633723003320310546958527,2206262000
12.44,4,0.0797484292203421172360345552,0.112779389590861,0.112779389590861,0.0801383798221376,0.0801383798221376,0.463989693095377,0.4707265300519104374115877580,0.2370340685647234374115877580,0.233692461487187,6.742659325825166877863819504,132.54818439758734261432315002,132.54817880357836330764323694,2208036000
12.45,4,0.0797324627489019772360345552,0.112750926622558,0.112750926622558,0.0801223352784996,0.0801223352784996,0.463812661636613,0.4705479443565815243854894572,0.2369402483340395243854894572,0.233607696022542,6.7401012739714237269188877908,132.53299596489551378101410415,132.53299036456787821311400191,2209811000
12.46,4,0.0797165277401561672360345552,0.112722515203828,0.112722515203828,0.0801063223514009,0.0801063223514009,0.463635914129451,0.4703696455170786262211649378,0.2368465657743786262211649378,0.2335230797427,6.737547331021913085802122215,132.51780842448778136871319464,132.51780281782922773255997177,2211586000
12.47,4,0.0797006238019288072360345552,0.112694154284316,0.112694154284316,0.080090340646748,0.080090340646748,0.463459441202656,0.4701916241117265541028239245,0.2367530116337705541028239245,0.233438612477956,6.7349973620210338638269592176,132.50265345451999786250566909,132.50264784152522905022086419,2213361000
12.48,4,0.0796847621186102272360345552,0.112665855243606,0.112665855243606,0.0800744014036202,0.0800744014036202,0.46328324447307,0.4700138825472283960419052799,0.2366595884886343960419052799,0.233354294058594,6.7324514014422807026079948396,132.48751183998603644419008048,132.48750622064541042397097121,2215136000
12.49,4,0.0796689308733760972360345552,0.112637606924931,0.112637606924931,0.0800584927474118,0.0800584927474118,0.463107334620929,0.4698364306995461525141060839,0.2365663063846421525141060839,0.233270124314904,6.7299095907484011875016883235,132.47237376432440728179051265,132.47236813862617469897034732,2216911000
12.50,4,0.0796531406759840672360345552,0.112609417568154,0.112609417568154,0.0800426253397595,0.0800426253397595,0.462931676640938,0.4696592342234399113299211324,0.2364731311462659113299211324,0.233186103077174,6.7273714379800842559505445092,132.45725940554004970985852132,132.45725377347670665607810202,2218686000
12.51,4,0.0796373809004013172360345552,0.112581280209935,0.112581280209935,0.0800267885026718,0.0800267885026718,0.462756324028006,0.4694823459977700302802380463,0.2363801158220770302802380463,0.233102230175693,6.7248377005712088453970682392,132.44215113219949739020265122,132.44214549376010240840696151,2220461000
12.52,4,0.0796216523477917772360345552,0.112553192561328,0.112553192561328,0.0800109830412301,0.0800109830412301,0.462581232507316,0.4693057216959013729527914877,0.2362872162551523729527914877,0.233018505440749,6.7223077435895232172407415529,132.42706502461782993458860302,132.42705937979468320863877344,2222236000
12.53,4,0.0796059748205691072360345552,0.112525175032168,0.112525175032168,0.0799952288546772,0.0799952288546772,0.462406408685819,0.4691293693324099267887966002,0.2361944406297799267887966002,0.23293492870263,6.7197816818353843089240692928,132.41199811586106121890618889,132.41199246464590751863891647,2224011000
12.54,4,0.0795903176909372072360345552,0.112497198044411,0.112497198044411,0.0799794951654543,0.0799794951654543,0.462231870792146,0.4689533050282614313976585059,0.2361018052366344313976585059,0.232851499791627,6.7172597462245717339325791013,132.39693441816323543304521802,132.39692876054415578135082298,2225786000
12.55,4,0.0795747007610542172360345552,0.112469280659926,0.112469280659926,0.0799638018725474,0.0799638018725474,0.462057606160055,0.4687775174777583289350394620,0.2360092989397343289350394620,0.232768218538024,6.7147417748149950776227302165,132.38189199804607605636447557,132.38188633401551330571590864,2227561000
12.56,4,0.0795591148343206872360345552,0.112441412871026,0.112441412871026,0.0799481397343879,0.0799481397343879,0.461883604156288,0.4686019953754424450178649770,0.2359169106033284450178649770,0.232685084772114,6.7122276056677923055660958836,132.36685355327560037893842564,132.36684788282148695336344066,2229336000
12.57,4,0.0795435682811886472360345552,0.112413603976045,0.112413603976045,0.0799325171623573,0.0799325171623573,0.461709877171111,0.4684267517300165691727771110,0.2358246534058345691727771110,0.232602098324182,6.7097174251190319749900669406,132.35183856216999252662776977,132.3518328852853515667547757,2231111000
12.58,4,0.0795280529048055472360345552,0.112385845969027,0.112385845969027,0.0799169259195224,0.0799169259195224,0.4615364287953,0.4682517895650437409650133317,0.2357325305405257409650133317,0.232519259024518,6.7072112764779764035522622309,132.33683305708973073551125892,132.33682737376406624566034852,2232886000
12.59,4,0.0795125776975528172360345552,0.112358147597348,0.112358147597348,0.0799013750422354,0.0799013750422354,0.461363254580754,0.4680771050534442365402593856,0.2356405383500332365402593856,0.232436566703411,6.7047091049257875005661181944,132.32185307398648643988203877,132.3218473842130877215942895,2234661000
12.60,4,0.0794971326518371272360345552,0.112330497605568,0.112330497605568,0.0798858544739679,0.0798858544739679,0.461190337733396,0.4679026806569098040828260392,0.2355486594657618040828260392,0.232354021191148,6.7022106592447312034741396724,132.30688028529930146339472949,132.30687458906710045439018003,2236435000
12.61,4,0.0794817267600884672360345552,0.112302907697355,0.112302907697355,0.079870373251121,0.079870373251121,0.461017716081384,0.4677285549278580916409476109,0.2354569326098390916409476109,0.232271622318019,6.6997164916574821257618543081,132.29192295050411010251281819,132.2919172478042838461452908,2238210000
12.62,4,0.0794663422018692672360345552,0.112275357612653,0.112275357612653,0.0798549134661194,0.0798549134661194,0.460845356608009,0.4675546935167375728385433007,0.2353653236024265728385433007,0.232189369914311,6.6972261101430128527857213398,132.27698446760003810814559549,132.27697875842431890741428972,2239985000
12.63,4,0.0794510065951474572360345552,0.112247874332965,0.112247874332965,0.0798395028719761,0.0798395028719761,0.460673247311028,0.4673810863326758964108513714,0.2352738225223638964108513714,0.232107263810312,6.6947393701602076740742912102,132.26204117030584181765951531,132.26203545464029295848352876,2241760000
12.64,4,0.0794357001198304972360345552,0.112220441071349,0.112220441071349,0.0798241215516833,0.0798241215516833,0.46050143364796,0.4672077775514619959335653435,0.2351824737151489959335653435,0.232025303836313,6.6922569044806301749840231624,132.24713820424109360689973123,132.24713248208273000178227578,2243535000
12.65,4,0.0794204247684469572360345552,0.112193057036663,0.112193057036663,0.0798087715075124,0.0798087715075124,0.460329875601209,0.4670347271977940361063367837,0.2350912373751940361063367837,0.2319434898226,6.6897781405003012929574220336,132.23222967047496977746594975,132.23222394180984119366124789,2245310000
12.66,4,0.0794051887194635572360345552,0.112165732118245,0.112165732118245,0.0797934609579209,0.0797934609579209,0.460158596778518,0.4668619595117523817654467981,0.2350001379122903817654467981,0.231861821599462,6.6873034254327796414800154684,132.21735014275599233296565611,132.21734440757836761630540857,2247085000
12.67,4,0.0793899815933238072360345552,0.112138453989081,0.112138453989081,0.0797781794725988,0.0797781794725988,0.459987570419961,0.4666894469387089354527465243,0.2349091479415209354527465243,0.231780298997188,6.6848323645870891579943083078,132.20247867326383011464634758,132.20247293156276947275054635,2248860000
12.68,4,0.0793748035688392672360345552,0.11211122430002,0.11211122430002,0.079762927231232,0.079762927231232,0.459816817557878,0.4665172105749249739920901381,0.2348182887288589739920901381,0.231698921846066,6.6823652601449544278567597907,132.18761767821012565109879299,132.1876119299756426596792897,2250635000
12.69,4,0.0793596748236655872360345552,0.112084063536118,0.112084063536118,0.07974772451014,0.07974772451014,0.459646340469288,0.4663452541208412936317420709,0.2347275641444562936317420709,0.231617689976385,6.6799021651112547405959203607,132.17278107273207096640838006,132.17277531795732199685146858,2252410000
12.70,4,0.0793445661648278472360345552,0.112056942294784,0.112056942294784,0.0797325419736013,0.0797325419736013,0.459476139222334,0.4661735755934117730290054080,0.2346369723749787730290054080,0.231536603218433,6.6774430510809876815682492593,132.15794575301924491564242821,132.15793999169214222084292173,2254185000
12.71,4,0.0793294964005464872360345552,0.112029877593753,0.112029877593753,0.079717398521804,0.079717398521804,0.459306186236664,0.4660021486665661002765436275,0.2345464872640671002765436275,0.231455661402499,6.6749875409609711882162513243,132.14313972246510316083723755,132.14313395457970779846203114,2255960000
12.72,4,0.0793144548927033272360345552,0.112002860725106,0.112002860725106,0.0797022834646121,0.0797022834646121,0.459136510232632,0.4658310013832636280119918539,0.2344561370243916280119918539,0.231374864358872,6.6725360364369785500684770018,132.12833337261858665153283481,132.1283275981623051770040211,2257735000
12.73,4,0.0792994432654091272360345552,0.111975891434556,0.111975891434556,0.0796871984340778,0.0796871984340778,0.458967084177312,0.4656601067586911454951132742,0.2343658948408531454951132742,0.231294211917838,6.6700881509801023524813855295,132.11355295247820064492471482,132.11354717144444483908872063,2259510000
